region,chart,sar,hh_mean,hh_std,hv_mean,hv_std,angle_mean,angle_std,hh_hv_mean,hh_hv_std,247,0,1,13,14,24,46,47,68,78,79,81,90,91,92,nan,total
AP,20181203,S1B_EW_GRDM_1SDH_20181202T081815_20181202T081914_013860_019B24_C946,-10.221945,7.2712507,-18.685797,10.268558,32.516525,8.650826,0.41023573,198.0587,0.0,2698900.0,15848903.0,0.0,1938067.0,0.0,0.0,56818.0,0.0,0.0,0.0,0.0,0.0,20371224.0,95838385,2030347,138782644
AP,20181209,S1B_EW_GRDM_1SDH_20181210T085100_20181210T085208_013977_019EF9_260F,-12.963178,7.7799344,-26.181839,12.022528,32.444576,8.607716,0.47030127,25.58168,0.0,25005403.0,38227396.0,0.0,1443365.0,0.0,0.0,2557680.0,0.0,0.0,1232979.0,0.0,0.0,56585735.0,24573929,1655476,151281963
AP,20181210,S1B_EW_GRDM_1SDH_20181210T235006_20181210T235105_013986_019F43_DA57,-11.680386,5.144482,-22.429184,7.3429155,32.68416,8.486367,0.4699827,0.323086,0.0,0.0,0.0,0.0,4651066.0,0.0,0.0,2334730.0,0.0,0.0,20104774.0,0.0,0.0,45411741.0,52581999,2570,125086880
AP,20181220,S1A_EW_GRDM_1SDH_20181220T081915_20181220T082019_025106_02C581_BEF8,-9.51536,6.505722,-18.203503,8.7129545,32.43207,8.382212,0.47147053,302.51163,0.0,3807688.0,0.0,0.0,0.0,0.0,2535230.0,0.0,0.0,2735252.0,0.0,0.0,0.0,0.0,50759733,94778217,154616120
WS,20171106,S1B_EW_GRDM_1SDH_20171107T222550_20171107T222655_008181_00E75F_78D0,-12.704509,5.220078,-24.568165,7.041523,31.242796,7.3065624,0.49406227,0.13632219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66390137.0,21583964,4,87974105
WS,20171223,S1B_EW_GRDM_1SDH_20171223T224200_20171223T224304_008852_00FC64_0911,-12.436346,5.8634167,-24.762304,6.951208,31.878574,6.795574,0.487818,0.15051287,0.0,0.0,0.0,0.0,5303772.0,0.0,0.0,10504938.0,0.0,0.0,13644398.0,0.0,0.0,26644398.0,14106680,2,70204188
WS,20180104,S1B_EW_GRDM_1SDH_20180104T224159_20180104T224303_009027_010213_47AC,-13.860447,6.7089233,-26.101803,7.903158,32.396744,7.260649,0.5172613,0.15167026,0.0,4940309.0,0.0,2188891.0,0.0,0.0,9923051.0,0.0,0.0,0.0,0.0,0.0,26648365.0,8289310.0,666212,33585110,86241248
WS,20180222,S1B_EW_GRDM_1SDH_20180222T232234_20180222T232338_009742_01197F_E3BC,-13.113662,5.1643834,-24.622192,6.5788693,32.31274,8.461937,0.5265359,0.13770236,0.0,0.0,0.0,26345814.0,0.0,3328815.0,8904910.0,0.0,13101713.0,0.0,0.0,101120401.0,0.0,0.0,824413,48920014,202546080
WS,20180223,S1B_EW_GRDM_1SDH_20180223T005954_20180223T010058_009743_011988_1573,-13.508662,5.451813,-23.178894,6.8718944,31.799253,8.4652605,0.5644531,0.14476846,0.0,0.0,0.0,8627662.0,0.0,1796244.0,0.0,0.0,0.0,0.0,0.0,84984775.0,0.0,0.0,18614252,90336958,204359891
WS,20180226,S1B_EW_GRDM_1SDH_20180226T012413_20180226T012517_009787_011B06_A02E,-12.591067,5.48121,-21.796938,6.8622384,31.943193,8.464195,0.5567032,0.2215543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80768076.0,68285378,41682946,190736400
WS,20190313,S1B_EW_GRDM_1SDH_20190313T232241_20190313T232345_015342_01CB99_7DC1,-12.534495,4.9570713,-23.791595,7.965984,32.30626,8.461238,0.5255963,0.122612104,674592.0,16761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13460971.0,124609679,63423981,202185984
WS,20200117,S1B_EW_GRDM_1SDH_20200117T220139_20200117T220243_019862_02590A_7B65,-11.196085,3.8857987,-23.71371,6.693661,32.071545,5.726401,0.4728678,0.11135266,0.0,62526.0,0.0,8375940.0,0.0,2181277.0,8926670.0,0.0,0.0,0.0,0.0,19683324.0,0.0,0.0,333583,4946538,44509858
WS,20200305,S1B_EW_GRDM_1SDH_20200305T003547_20200305T003652_020549_026F0F_6ED1,-14.666409,4.5937223,-27.481852,6.128196,30.944382,6.0324154,0.53133035,0.15797015,0.0,0.0,0.0,0.0,0.0,0.0,2085301.0,0.0,0.0,0.0,0.0,60832721.0,0.0,0.0,3717657,8850809,75486488
WS,20200313,S1B_EW_GRDM_1SDH_20200313T010815_20200313T010920_020666_0272CA_D7C3,-12.821525,5.3069463,-24.190596,7.6266646,31.816679,8.433471,0.5150271,0.15635791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2323680.0,0.0,0.0,103304652.0,0.0,0.0,5267407,90696509,201592248
WS,20211223,S1B_EW_GRDM_1SDH_20211222T231452_20211222T231543_030144_039978_72FF,-12.160681,3.9763224,-24.409084,6.7478547,36.2113,4.285147,0.5003718,0.10554173,0.0,1115135.0,0.0,3282909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20216806.0,0.0,0.0,1349290,5856452,31820592
